Tourpedia_id,original_id,Foursquare_url,Foursquare_users_count,Foursquare_checkins_count,Foursquare_tip_count,Foursquare_likes
83456,4adcda09f964a520013421e3,https://foursquare.com/v/%C3%A9glise-de-la-madeleine/4adcda09f964a520013421e3,1956,2839,9,28
83461,4adcda09f964a5200a3421e3,https://foursquare.com/v/cimeti%C3%A8re-de-montmartre/4adcda09f964a5200a3421e3,636,1164,6,8
83465,4adcda09f964a5200e3421e3,https://foursquare.com/v/place-vend%C3%B4me/4adcda09f964a5200e3421e3,5121,8524,27,101
83466,4adcda09f964a5200f3421e3,https://foursquare.com/v/bois-de-vincennes/4adcda09f964a5200f3421e3,1516,3889,25,38
83473,4adcda09f964a520173421e3,https://foursquare.com/v/%C3%A9glise-saintgermain-lauxerrois/4adcda09f964a520173421e3,284,372,3,8
83474,4adcda09f964a5201a3421e3,https://foursquare.com/v/american-church-in-paris/4adcda09f964a5201a3421e3,251,503,4,4
83475,4adcda09f964a5201c3421e3,https://foursquare.com/v/%C3%A9glise-du-valdegr%C3%A2ce/4adcda09f964a5201c3421e3,88,147,2,2
83482,4adcda09f964a520e03321e3,https://foursquare.com/v/grande-mosqu%C3%A9e-de-paris/4adcda09f964a520e03321e3,1852,2777,29,42
83484,4adcda09f964a520e43321e3,https://foursquare.com/v/place-de-la-bastille-paris-%C3%AEledefrance/4adcda09f964a520e43321e3,11211,28290,44,188
83486,4adcda09f964a520e73321e3,https://foursquare.com/v/cimeti%C3%A8re-du-p%C3%A8re-lachaise/4adcda09f964a520e73321e3,4435,6658,72,71
83489,4adcda09f964a520eb3321e3,https://foursquare.com/v/place-dauphine/4adcda09f964a520eb3321e3,742,1248,7,16
83491,4adcda09f964a520ed3321e3,https://foursquare.com/v/palais-royal/4adcda09f964a520ed3321e3,1846,2918,9,24
83492,4adcda09f964a520ee3321e3,https://foursquare.com/v/%C3%A9glise-saintroch/4adcda09f964a520ee3321e3,307,419,5,1
83495,4adcda09f964a520fa3321e3,https://foursquare.com/v/%C3%A9glise-saintsulpice/4adcda09f964a520fa3321e3,1655,2323,17,25
83498,4adcda09f964a520fe3321e3,https://foursquare.com/v/jardins-des-champs%C3%A9lys%C3%A9es/4adcda09f964a520fe3321e3,3639,4403,15,81
83499,4adcda09f964a520ff3321e3,https://foursquare.com/v/pont-des-arts/4adcda09f964a520ff3321e3,7627,10628,39,184
83503,4adcda0af964a520273421e3,https://foursquare.com/v/ar%C3%A8nes-de-lut%C3%A8ce/4adcda0af964a520273421e3,1110,1916,21,19
83506,4adcda0af964a5202b3421e3,https://foursquare.com/v/place-de-catalogne/4adcda0af964a5202b3421e3,428,1403,6,1
83511,4adcda0af964a520323421e3,https://foursquare.com/v/tombeau-de-napol%C3%A9on/4adcda0af964a520323421e3,2303,2481,13,34
83515,4adcda0af964a5203a3421e3,https://foursquare.com/v/mus%C3%A9e-des-arts-et-m%C3%A9tiers/4adcda0af964a5203a3421e3,1561,2422,30,30
83520,4adcda0af964a520563421e3,https://foursquare.com/v/mosqu%C3%A9e-elfath/4adcda0af964a520563421e3,26,121,0,2
83521,4adcda0af964a5205e3421e3,https://foursquare.com/v/passerelle-simone-de-beauvoir/4adcda0af964a5205e3421e3,629,1126,9,13
