name,rating,review_count,place_link
Deportation Martyrs Memorial,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671fc75f402eb:0x66d28639de95d59a
Musée Cinéma et Miniature,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47f4ebaae27be5ef:0xe300013405b2077b
Agence France-Muséums,3.3,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e22ad23a0ef:0x8bbd02e0f669b01a
Statue Nicolas Leblanc,5.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f274917c8ef:0xf12aac774ccfb7f
Musée Art Brut,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x12b6af0d9a6cc1ed:0x6c171ac8286ae26c
Centre d'études Picasso,5.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f000a13e7ed:0xf35f6fb5e7fa7a85
Turtle de Seine,4.6,16,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671003d97f3ed:0x8a3986d3f8cda275
Canal Saint Martin,4.8,34,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fedd01a0eef:0xf4449d165a538ec6
Passage Vendôme,4.0,264,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e089f326fed:0x7b4a420d16cbd331
Colonne de la Paix Armée,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671a381d868ed:0xfbf9e65837f0fb11
Statue équestre du duc d'Orléans,4.8,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e6657ce4d2d6f3:0x616ecbe4517dd574
"Monument Sas : Votre chasseur de biens en Déficit Foncier, Malraux, Monument Historique…",4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66dfe0fbeb9f1:0x91192309f4da1b59
Musée Cognacq-Jay,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e022a6637f1:0x75a140856003f5c3
Bollée Dominique,5.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e4e4ab65ec72f1:0x356ab567cc81bf0c
Citéco | Cité de l'Économie,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fb987cfccf5:0x8e8eafc68f7d5ed6
Musée de la BnF,4.8,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f2ff2a1d3f5:0xd9441f64e2928e3f
Pinky Tour - Paris,5.0,87,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f620fe613f5:0x2ec864c75e1bad3e
Parisian escape,5.0,20,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e6717a8c3f2ef5:0xb9e868280c7a91d0
ART42 - Musée d'art urbain,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fa9e73a1ef7:0xb429df62b5631b9b
Cour Damoye,4.6,115,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e67200ed2223f7:0xa7e236dba07b82fd
"""Museum Precious Cargo"" African American History and Culture",5.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66df5478d39f7:0x487ee58298ce60b6
Iconem,5.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671cf13f24fff:0xf42887a91f182d2a
Ancienne église Saint-Jacques de la Boucherie,4.8,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f9337af43ff:0x8ea3b51cd9964dc8
Crémerie de Paris,4.2,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e1f417951ff:0x1182dd46d807ee4c
Caserne Napoléon,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e1d5cdc80ff:0x69a59cb805cbd34a
Grand Rocher du Parc Zoologique de Paris,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e6737027f006fd:0xfda5e17a5e80a57b
Musée des Arts Décoratifs,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e2f64250cfd:0xf76e6e752d80a38b
