name,url,latitude,longitude
Site des mégalithes de Locmariaquer,https://www.site-megalithique-locmariaquer.fr/,47.5727,-2.9564
Site gallo-romain de Sanxay,https://www.site-galloromain-de-sanxay.fr/,46.4935,-0.0229
Sites et musée archéologiques de Montmaurin,https://www.montmaurin-archeo.fr/,43.2243,0.6366
Sites préhistoriques de la vallée de la Vézère,https://www.sites-les-eyzies.fr/,44.9361,1.0136
Tour Pey-Berland à Bordeaux,https://www.pey-berland.fr/,44.8376,-0.5765
Tours de la cathédrale de Reims,https://www.cathedrale-reims.fr/,49.2534,4.033
Tours de la cathédrale Notre-Dame de Paris,https://www.tours-notre-dame-de-paris.fr/,48.853025,2.350115
Tours de La Rochelle,https://www.tours-la-rochelle.fr/,46.1553,-1.1527
Tours et remparts d'Aigues-Mortes,https://www.aigues-mortes-monument.fr/,43.5672,4.1926
Tours et trésor de la cathédrale d'Amiens,https://www.cathedrale-amiens.fr/,49.895,2.302222
Trophée d'Auguste à la Turbie,https://www.trophee-auguste.fr/,43.7454,7.4007
Trésor de la cathédrale d'Autun,https://www.tresor-cathedrale-autun.fr/,46.944918,4.299149
Trésor de la cathédrale de Lyon,https://www.tresor-cathedrale-lyon.fr/,45.7614,4.8285
Villa Cavrois,https://www.villa-cavrois.fr/,50.6667,3.16403
Villa gallo-romaine de Montcaret,https://www.villa-montcaret.fr/,44.8556,0.0657
Villa Kérylos,https://www.villakerylos.fr/,43.704161,7.333819
Villa Savoye à Poissy,https://www.villa-savoye.fr/,48.924425,2.02828
Village fortifié Mont-Dauphin,https://www.village-fortifie-montdauphin.fr/,44.6698,6.6245
